timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),State
11/9/2022 12:13:00 AM,781,32,74,0,98,207,
11/9/2022 12:20:00 AM,808,32,71,0,75,592,CLEAR
11/9/2022 12:21:00 AM,841,29,79,0,83,659,CLEAR
11/9/2022 12:24:00 AM,841,29,79,0,83,659,CLEAR
11/9/2022 12:24:00 AM,841,29,79,0,83,659,CLEAR
11/9/2022 12:28:00 AM,809,25,76,25,80,655,CLEAR
11/9/2022 12:29:00 AM,809,25,76,25,80,655,CLEAR
11/9/2022 12:31:00 AM,809,25,76,25,80,655,CLEAR
11/9/2022 12:31:00 AM,809,25,76,25,80,655,CLEAR
11/9/2022 12:33:00 AM,809,25,76,25,80,655,CLEAR
11/9/2022 12:34:00 AM,780,587,65,62,111,1083,CLEAR
11/9/2022 12:53:00 AM,700,565,60,54,106,1061,CLEAR
11/9/2022 1:13:00 AM,746,634,61,63,108,1111,CLEAR
11/9/2022 1:32:00 AM,750,592,60,55,105,1101,CLEAR
11/9/2022 1:52:00 AM,654,535,60,58,103,1313,HI
11/9/2022 2:02:00 AM,654,535,60,58,103,1313,HI
11/9/2022 2:05:00 AM,607,579,58,61,96,1195,CLEAR
11/9/2022 2:06:00 AM,607,579,58,61,96,1195,CLEAR
11/9/2022 2:12:00 AM,705,604,63,61,110,1233,CLEAR
11/9/2022 2:13:00 AM,705,604,63,61,110,1233,CLEAR
11/9/2022 2:25:00 AM,629,570,55,61,106,1281,HI
11/9/2022 2:25:00 AM,629,570,55,61,106,1281,HI
11/9/2022 2:32:00 AM,602,529,59,56,103,1135,CLEAR
11/9/2022 2:33:00 AM,602,529,59,56,103,1135,CLEAR
11/9/2022 2:37:00 AM,615,489,68,61,108,1290,HI
11/9/2022 2:41:00 AM,615,489,68,61,108,1290,HI
11/9/2022 2:42:00 AM,675,519,58,57,106,1273,CLEAR
11/9/2022 2:45:00 AM,675,519,58,57,106,1273,CLEAR
11/9/2022 2:53:00 AM,670,525,59,62,96,1220,CLEAR
11/9/2022 2:53:00 AM,670,525,59,62,96,1220,CLEAR
11/9/2022 2:57:00 AM,670,525,59,62,96,1220,CLEAR
11/9/2022 3:10:00 AM,610,479,60,63,116,1210,HI
11/9/2022 3:13:00 AM,705,520,65,62,116,1204,CLEAR
11/9/2022 3:21:00 AM,635,474,60,56,108,1316,HI
11/9/2022 3:33:00 AM,600,480,56,56,113,1264,HI
11/9/2022 3:36:00 AM,632,495,66,64,105,1283,HI
11/9/2022 3:41:00 AM,1421,658,65,62,100,1170,CLEAR
