Date,Qo,Qt,wc,GLIR
1/1/2022,121.03,376.62,0.68,550
1/2/2022,121.71,374.61,0.68,550
1/6/2022,119.03,370.74,0.68,550
1/7/2022,113.64,364.6,0.69,550
1/8/2022,113.75,367.95,0.69,550
1/9/2022,119.58,372.39,0.68,550
1/10/2022,124.68,373.97,0.67,550
1/11/2022,117.07,369.02,0.68,550
1/12/2022,39.52,121.09,0.67,650
1/13/2022,44.37,197.3,0.78,650
1/14/2022,118.43,401.83,0.71,650
1/15/2022,118.13,381.7,0.69,650
1/16/2022,109.55,357.36,0.69,650
1/17/2022,115.73,382.67,0.7,650
1/18/2022,112.36,363.7,0.69,700
1/19/2022,227.04,639.35,0.64,700
1/20/2022,216.67,607.5,0.64,600
1/21/2022,199.49,570.91,0.65,600
1/22/2022,287.07,841.92,0.66,600
1/23/2022,244,726.64,0.66,600
1/24/2022,288.17,755.45,0.62,600
1/25/2022,220.46,655.41,0.66,650
1/26/2022,203.99,620.85,0.67,650
1/27/2022,202.81,623.73,0.67,575
1/28/2022,232.06,703.4,0.67,575
1/29/2022,213.8,648,0.67,575
1/30/2022,142.99,458.88,0.69,575
1/31/2022,141.82,445.45,0.68,575
2/1/2022,132.43,412.38,0.68,575
2/2/2022,96.31,303.82,0.68,700
2/3/2022,122.88,389.18,0.68,700
2/4/2022,252.83,799.45,0.68,700
2/5/2022,151.5,510.16,0.7,700
2/6/2022,49.07,173.17,0.72,700
2/13/2022,124.61,400.34,0.69,600
2/14/2022,164.25,540.53,0.7,600
2/15/2022,113.35,360.25,0.69,600
2/18/2022,170.37,410.31,0.58,600
3/8/2022,152.13,355.33,0.57,550
3/9/2022,139.2,346.41,0.6,500
3/10/2022,145.66,349.94,0.58,500
3/12/2022,145.12,343.78,0.58,500
3/13/2022,175.39,427.37,0.59,500
3/14/2022,313.25,688.28,0.54,500
3/16/2022,296.91,658.13,0.55,500
3/17/2022,337.91,734.26,0.54,500
3/18/2022,286.35,626.58,0.54,500
3/19/2022,245.21,544.71,0.55,500
3/20/2022,153.32,365.12,0.58,500
3/23/2022,135.96,319.38,0.57,475
3/27/2022,118.19,285.1,0.59,475
3/30/2022,113.23,271.39,0.58,475
4/2/2022,119.57,296.72,0.6,475
4/3/2022,118.05,292.01,0.6,475
4/6/2022,52.92,90.56,0.42,600
4/12/2022,224.58,444.44,0.49,750
4/14/2022,162.47,385.71,0.58,700
4/16/2022,160.43,376.47,0.57,700
4/18/2022,157.87,371.16,0.57,700
4/23/2022,152.66,349.56,0.56,650
4/24/2022,156.99,350.07,0.55,650
4/25/2022,151.71,344.18,0.56,650
4/26/2022,149.72,344.49,0.57,600
4/27/2022,115.67,247.48,0.53,600
4/28/2022,109.05,252.35,0.57,600
4/29/2022,116.48,268.84,0.57,600
4/30/2022,116.27,258.24,0.55,700
5/1/2022,131.69,303.68,0.57,700
5/2/2022,136.01,325.95,0.58,700
5/3/2022,149.08,357.99,0.58,700
5/4/2022,174.44,387.31,0.55,700
5/5/2022,173.26,388.93,0.55,700
5/6/2022,168.89,380.4,0.56,700
5/7/2022,164.73,374.31,0.56,700
5/8/2022,167.35,369.89,0.55,700
5/9/2022,163.52,364.77,0.55,700
5/10/2022,166.45,367.29,0.55,675
5/11/2022,167.77,366.74,0.54,675
5/12/2022,167.7,364.44,0.54,675
5/13/2022,164.11,355.03,0.54,675
5/14/2022,165.59,358.13,0.54,675
5/15/2022,164.85,356.38,0.54,675
5/16/2022,165.63,356.81,0.54,675
5/17/2022,165.28,350.98,0.53,653
5/18/2022,156.55,337.42,0.54,675
5/19/2022,156.85,331.28,0.53,675
5/20/2022,152.21,329.69,0.54,675
5/21/2022,162.55,338.99,0.52,675
5/22/2022,209.64,385.26,0.46,675
5/23/2022,144.74,322.5,0.55,675
5/24/2022,147.48,321.33,0.54,675
5/25/2022,146.82,319.57,0.54,675
5/26/2022,142.9,324.06,0.56,675
5/27/2022,141.79,291.11,0.51,675
5/28/2022,139.41,296.19,0.53,675
5/29/2022,145.65,307.52,0.53,726
5/30/2022,148.55,310.16,0.52,726
5/31/2022,149.65,315.2,0.53,756
6/1/2022,152.01,319.45,0.52,756
6/2/2022,152.37,323.56,0.53,756
6/3/2022,152.37,323.56,0.53,756
6/4/2022,157.21,335.84,0.53,756
6/5/2022,157.71,327.8,0.52,756
6/6/2022,161.9,335.77,0.52,756
6/7/2022,153.86,321.31,0.52,790
6/8/2022,157.17,324.13,0.52,790
6/9/2022,155.93,319.57,0.51,790
6/10/2022,153.57,317.89,0.52,790
6/11/2022,154.5,318.08,0.51,790
6/12/2022,159.33,323.93,0.51,790
6/13/2022,154.19,319.45,0.52,847
6/14/2022,152.25,316.51,0.52,847
6/15/2022,157.39,320.68,0.51,857
6/16/2022,157.65,318.84,0.51,857
6/17/2022,152.47,316.53,0.52,884
6/18/2022,155,317.89,0.51,884
6/19/2022,153.82,315.99,0.51,847
6/20/2022,165.99,330.72,0.5,847
6/21/2022,168.41,336.38,0.5,847
6/22/2022,170.38,334.77,0.49,847
6/23/2022,165.57,327.3,0.49,847
6/24/2022,162.26,323.3,0.5,827
6/25/2022,155.29,314.49,0.51,827
6/26/2022,156.26,316.55,0.51,796
6/27/2022,157.34,316.7,0.5,796
6/28/2022,150,309.24,0.51,763
6/29/2022,152.78,314.25,0.51,763
6/30/2022,153.93,310.74,0.5,763
7/1/2022,127.65,262.01,0.51,763
7/2/2022,167.28,315.07,0.47,763
